N,std_brute,std_importance,error_brute,error_importance,time_brute,time_importance,time_importance_parallel
10,0.006943820687924003,0.1984082253311498,0.18090326962841619,-0.14273375343978767,1.0514800548553467,0.23906731605529785,0.7561798095703125
100,0.04697003676651949,0.03589603569945632,0.1204095371660237,0.056325649214217066,2.1219253540039062e-05,5.507469177246094e-05,2.3365020751953125e-05
1000,0.3401646261106232,0.02513845963925969,-0.25499789257042454,0.007159130035961109,3.1948089599609375e-05,0.0003750324249267578,0.00014281272888183594
10000,0.023256371723941228,0.009787013628168563,0.06776481229239575,0.00942310276700764,0.00018787384033203125,0.0025606155395507812,0.0006506443023681641
100000,0.029467464889677056,0.0028956668229832743,0.008342474276819306,0.0026207585736635064,0.001401662826538086,0.0278475284576416,0.005267620086669922
1000000,0.007156300712534882,0.001058288809283216,0.007956522392781995,-0.001701001320838058,0.012711286544799805,0.2481982707977295,0.04797029495239258
10000000,0.002955946116184341,0.0003328843216591817,0.005074413984111986,-0.00011238641761149304,0.13297605514526367,2.4496779441833496,0.5563304424285889
100000000,0.0011523928262665946,0.00010684271319667188,-0.0017914851215901084,-0.00016436185753684884,1.48085355758667,24.29050898551941,6.514576196670532
1000000000,0.00030652809654197334,3.278097458926141e-05,0.0009096684645969189,-2.488518297444342e-05,15.335667371749878,241.19658136367798,64.91385626792908
10000000000,0.0001353014974620439,1.0419066395269268e-05,0.0006789979693069548,-1.0797879845814151e-05,147.9359962940216,2413.7328124046326,661.6820676326752
